10 2.02968287467957 [121,31], free 1 [121,31], free 1
11 2.24031567573547 [19,21], free 1 [19,21], free 1
9 2.17984986305237 [102,47], free 1 [102,47], free 1
21 5.44689321517944 [117,33], free 1 [117,33], free 1
5 2.04541087150574 [73,27], free 1 [73,27], free 1
6 1.73290157318115 [87,20], free 1 [87,20], free 1
4 1.08956170082092 [49,31], free 1 [49,31], free 1
13 3.13350510597229 [75,49], free 1 [75,49], free 1
17 3.60441827774048 [36,3], free 1 [36,3], free 1
12 2.51748633384705 [106,32], free 1 [106,32], free 1
9 1.84934043884277 [59,15], free 1 [59,15], free 1
7 1.42593431472778 [63,27], free 1 [63,27], free 1
13 2.92744398117065 [56,48], free 1 [56,48], free 1
21 5.25390720367432 [3,45], free 1 [3,45], free 1
7 2.50287079811096 [21,51], free 1 [21,51], free 1
8 1.69192099571228 [107,9], free 1 [107,9], free 1
11 2.67737698554993 [1,31], free 1 [1,31], free 1
29 6.3752179145813 [125,31], free 1 [125,31], free 1
14 2.95482993125916 [28,9], free 1 [28,9], free 1
5 1.02195286750793 [91,3], free 1 [91,3], free 1
6 1.2461473941803 [148,42], free 1 [148,42], free 1
11 2.29962110519409 [18,6], free 1 [18,6], free 1
8 1.63862204551697 [52,12], free 1 [52,12], free 1
14 3.05292201042175 [40,1], free 1 [40,1], free 1
12 2.59241437911987 [81,21], free 1 [81,21], free 1
15 3.09766697883606 [115,7], free 1 [115,7], free 1
11 2.25925779342651 [110,2], free 1 [110,2], free 1
11 2.27486085891724 [59,29], free 1 [59,29], free 1
6 1.22544288635254 [93,19], free 1 [93,19], free 1
11 2.27031803131104 [48,33], free 1 [48,33], free 1
4 0.842404127120972 [59,17], free 1 [59,17], free 1
13 2.69344067573547 [25,7], free 1 [25,7], free 1
30 6.2402446269989 [87,37], free 1 [87,37], free 1
7 1.45760321617126 [105,31], free 1 [105,31], free 1
16 3.32339429855347 [61,51], free 1 [61,51], free 1
15 3.18867945671082 [103,1], free 1 [103,1], free 1
11 2.43882131576538 [101,45], free 1 [101,45], free 1
8 1.74629235267639 [31,21], free 1 [31,21], free 1
5 1.05789184570313 [139,35], free 1 [139,35], free 1
11 2.30501770973206 [77,31], free 1 [77,31], free 1
14 2.93904447555542 [17,17], free 1 [17,17], free 1
2 0.398421764373779 [60,28], free 1 [60,28], free 1
11 2.2945032119751 [87,20], free 1 [87,20], free 1
4 0.83583402633667 [106,22], free 1 [106,22], free 1
4 0.835858821868897 [4,44], free 1 [4,44], free 1
13 3.29182243347168 [80,12], free 1 [80,12], free 1
25 5.28371930122376 [25,3], free 1 [25,3], free 1
17 3.53281664848328 [99,41], free 1 [99,41], free 1
13 2.69538378715515 [141,6], free 1 [141,6], free 1
13 2.6926805973053 [43,49], free 1 [43,49], free 1
7 1.47855377197266 [41,7], free 1 [41,7], free 1
