12 3.150966167449951 Robot: (107, 8, [0, 0, 0, 1]) Solution: [107, 8] [0, 0, 0, 1]
8 1.5313615798950195 Robot: (99, 2, [0, 1, 0, 1]) Solution: [99, 2] [0, 1, 0, 1]
9 1.9375801086425781 Robot: (105, 45, [0, 0, 1, 0]) Solution: [105, 45] [0, 0, 1, 0]
12 2.346693515777588 Robot: (152, 7, [0, 0, 1, 0]) Solution: [152, 7] [0, 0, 1, 0]
6 1.7280077934265137 Robot: (6, 29, [1, 0, 1, 0]) Solution: [6, 29] [1, 0, 1, 0]
10 2.834597110748291 Robot: (51, 19, [1, 0, 1, 0]) Solution: [51, 19] [1, 0, 1, 0]
15 2.762359857559204 Robot: (150, 49, [1, 0, 1, 0]) Solution: [150, 49] [1, 0, 1, 0]
8 1.6383159160614014 Robot: (87, 49, [0, 1, 0, 1]) Solution: [87, 49] [0, 1, 0, 1]
5 0.8964555263519287 Robot: (78, 3, [0, 0, 0, 0]) Solution: [78, 3] [0, 0, 0, 0]
5 0.9258627891540527 Robot: (109, 15, [1, 0, 0, 0]) Solution: [109, 15] [1, 0, 0, 0]
28 5.124714612960815 Robot: (131, 1, [1, 0, 1, 0]) Solution: [131, 1] [1, 0, 1, 0]
7 1.2606408596038818 Robot: (49, 47, [0, 0, 0, 1]) Solution: [49, 47] [0, 0, 0, 1]
4 0.7286210060119629 Robot: (83, 53, [0, 0, 1, 1]) Solution: [83, 53] [0, 0, 1, 1]
17 3.1391427516937256 Robot: (141, 29, [1, 0, 1, 0]) Solution: [141, 29] [1, 0, 1, 0]
10 1.8216278553009033 Robot: (80, 11, [1, 0, 0, 0]) Solution: [80, 11] [1, 0, 0, 0]
3 0.5711386203765869 Robot: (45, 35, [0, 0, 1, 0]) Solution: [45, 35] [0, 0, 1, 0]
14 2.809922933578491 Robot: (128, 53, [1, 0, 1, 0]) Solution: [128, 53] [1, 0, 1, 0]
13 2.559680700302124 Robot: (17, 31, [0, 0, 1, 0]) Solution: [17, 31] [0, 0, 1, 0]
14 2.792189836502075 Robot: (118, 51, [1, 0, 0, 0]) Solution: [118, 51] [1, 0, 0, 0]
3 0.5218431949615479 Robot: (23, 19, [0, 0, 1, 1]) Solution: [23, 19] [0, 0, 1, 1]
13 2.737924814224243 Robot: (87, 19, [0, 0, 0, 0]) Solution: [87, 19] [0, 0, 0, 0]
5 0.9465065002441406 Robot: (84, 18, [0, 1, 0, 1]) Solution: [84, 18] [0, 1, 0, 1]
8 1.4798054695129395 Robot: (132, 3, [1, 0, 0, 0]) Solution: [132, 3] [1, 0, 0, 0]
7 1.786485195159912 Robot: (135, 25, [1, 1, 0, 0]) Solution: [135, 25] [1, 1, 0, 0]
13 3.3006837368011475 Robot: (138, 6, [0, 1, 1, 0]) Solution: [138, 6] [0, 1, 1, 0]
14 4.104184150695801 Robot: (120, 21, [0, 0, 0, 0]) Solution: [120, 21] [0, 0, 0, 0]
4 1.3455407619476318 Robot: (131, 37, [0, 0, 0, 0]) Solution: [131, 37] [0, 0, 0, 0]
10 3.722557306289673 Robot: (59, 13, [0, 0, 0, 1]) Solution: [59, 13] [0, 0, 0, 1]
20 7.704197883605957 Robot: (15, 23, [0, 0, 1, 0]) Solution: [15, 23] [0, 0, 1, 0]
24 5.3100340366363525 Robot: (150, 15, [1, 0, 1, 0]) Solution: [150, 15] [1, 0, 1, 0]
40 11.289022445678711 Robot: (38, 31, [0, 0, 0, 0]) Solution: [38, 31] [0, 0, 0, 0]
5 1.77394700050354 Robot: (111, 23, [0, 0, 1, 1]) Solution: [111, 23] [0, 0, 1, 1]
9 3.337963819503784 Robot: (4, 4, [0, 0, 0, 0]) Solution: [4, 4] [0, 0, 0, 0]
14 3.9518508911132812 Robot: (93, 3, [1, 0, 0, 0]) Solution: [93, 3] [1, 0, 0, 0]
7 1.279642105102539 Robot: (113, 17, [0, 1, 0, 0]) Solution: [113, 17] [0, 1, 0, 0]
8 1.500276803970337 Robot: (97, 27, [0, 0, 1, 0]) Solution: [97, 27] [0, 0, 1, 0]
16 2.9465725421905518 Robot: (89, 7, [0, 1, 0, 1]) Solution: [89, 7] [0, 1, 0, 1]
4 0.7241189479827881 Robot: (137, 5, [0, 0, 0, 1]) Solution: [137, 5] [0, 0, 0, 1]
9 1.6579489707946777 Robot: (130, 27, [0, 0, 1, 0]) Solution: [130, 27] [0, 0, 1, 0]
10 1.7993929386138916 Robot: (113, 10, [0, 0, 0, 1]) Solution: [113, 10] [0, 0, 0, 1]
36 6.802606582641602 Robot: (130, 49, [1, 0, 1, 0]) Solution: [130, 49] [1, 0, 1, 0]
4 0.9377217292785645 Robot: (143, 36, [0, 0, 0, 1]) Solution: [143, 36] [0, 0, 0, 1]
20 5.817657232284546 Robot: (131, 41, [1, 0, 0, 1]) Solution: [131, 41] [1, 0, 0, 1]
16 5.6979734897613525 Robot: (87, 51, [0, 0, 0, 0]) Solution: [87, 51] [0, 0, 0, 0]
30 9.094815492630005 Robot: (122, 7, [1, 0, 0, 0]) Solution: [122, 7] [1, 0, 0, 0]
11 3.559931755065918 Robot: (152, 51, [1, 0, 0, 0]) Solution: [152, 51] [1, 0, 0, 0]
11 4.193829298019409 Robot: (99, 45, [0, 1, 0, 0]) Solution: [99, 45] [0, 1, 0, 0]
8 2.819546937942505 Robot: (10, 32, [0, 1, 0, 0]) Solution: [10, 32] [0, 1, 0, 0]
20 6.695276975631714 Robot: (67, 40, [0, 1, 0, 1]) Solution: [67, 40] [0, 1, 0, 1]
20 6.642142057418823 Robot: (87, 33, [0, 0, 0, 0]) Solution: [87, 33] [0, 0, 0, 0]
13 4.307232141494751 Robot: (92, 7, [1, 0, 0, 0]) Solution: [92, 7] [1, 0, 0, 0]
12 3.966068744659424 Robot: (17, 45, [0, 0, 1, 1]) Solution: [17, 45] [0, 0, 1, 1]
5 1.645113468170166 Robot: (136, 38, [0, 0, 1, 1]) Solution: [136, 38] [0, 0, 1, 1]
17 5.664234161376953 Robot: (99, 49, [1, 0, 0, 0]) Solution: [99, 49] [1, 0, 0, 0]
10 3.3932604789733887 Robot: (10, 49, [1, 0, 1, 0]) Solution: [10, 49] [1, 0, 1, 0]
13 4.450308084487915 Robot: (84, 39, [0, 0, 0, 0]) Solution: [84, 39] [0, 0, 0, 0]
15 5.161963939666748 Robot: (131, 50, [0, 0, 0, 1]) Solution: [131, 50] [0, 0, 0, 1]
18 6.175589084625244 Robot: (107, 43, [0, 1, 0, 1]) Solution: [107, 43] [0, 1, 0, 1]
36 12.174942255020142 Robot: (19, 35, [0, 1, 1, 1]) Solution: [19, 35] [0, 1, 1, 1]
11 3.621067523956299 Robot: (77, 17, [0, 1, 0, 0]) Solution: [77, 17] [0, 1, 0, 0]
8 2.64841365814209 Robot: (35, 23, [1, 0, 0, 0]) Solution: [35, 23] [1, 0, 0, 0]
6 1.967865228652954 Robot: (21, 23, [1, 0, 0, 1]) Solution: [21, 23] [1, 0, 0, 1]
4 1.3412044048309326 Robot: (74, 51, [1, 0, 1, 0]) Solution: [74, 51] [1, 0, 1, 0]
4 1.4068918228149414 Robot: (16, 2, [0, 0, 1, 0]) Solution: [16, 2] [0, 0, 1, 0]
16 3.676156520843506 Robot: (9, 1, [1, 0, 0, 0]) Solution: [9, 1] [1, 0, 0, 0]
14 3.1108336448669434 Robot: (152, 51, [1, 0, 0, 0]) Solution: [152, 51] [1, 0, 0, 0]
12 4.158912181854248 Robot: (28, 44, [0, 0, 0, 0]) Solution: [28, 44] [0, 0, 0, 0]
4 1.2471251487731934 Robot: (149, 53, [1, 0, 1, 0]) Solution: [149, 53] [1, 0, 1, 0]
8 2.5390448570251465 Robot: (58, 3, [1, 0, 0, 0]) Solution: [58, 3] [1, 0, 0, 0]
25 8.4860258102417 Robot: (50, 41, [0, 0, 0, 0]) Solution: [50, 41] [0, 0, 0, 0]
3 0.8890533447265625 Robot: (43, 12, [0, 0, 0, 0]) Solution: [43, 12] [0, 0, 0, 0]
15 5.412278652191162 Robot: (38, 50, [0, 1, 0, 0]) Solution: [38, 50] [0, 1, 0, 0]
4 1.4926705360412598 Robot: (1, 19, [0, 0, 0, 1]) Solution: [1, 19] [0, 0, 0, 1]
