15 16.772849321365356 Robot: (143, 93, [0, 0, 0, 0]) Solution: [143, 93] [0, 0, 0, 0]
13 12.597959756851196 Robot: (175, 55, [1, 0, 1, 0]) Solution: [175, 55] [1, 0, 1, 0]
12 11.448553085327148 Robot: (103, 162, [0, 0, 0, 0]) Solution: [103, 162] [0, 0, 0, 0]
17 18.80352282524109 Robot: (68, 144, [1, 0, 0, 0]) Solution: [68, 144] [1, 0, 0, 0]
28 33.42259669303894 Robot: (156, 141, [1, 0, 0, 0]) Solution: [156, 141] [1, 0, 0, 0]
11 11.814274311065674 Robot: (187, 198, [0, 0, 0, 1]) Solution: [187, 198] [0, 0, 0, 1]
14 15.647920608520508 Robot: (19, 197, [1, 1, 0, 0]) Solution: [19, 197] [1, 1, 0, 0]
50 63.25217247009277 Robot: (39, 89, [0, 1, 0, 0]) Solution: [39, 89] [0, 1, 0, 0]
24 22.698256731033325 Robot: (94, 35, [1, 0, 1, 0]) Solution: [94, 35] [1, 0, 1, 0]
26 24.323314905166626 Robot: (11, 139, [0, 1, 1, 0]) Solution: [11, 139] [0, 1, 1, 0]
13 11.737050294876099 Robot: (27, 190, [0, 0, 0, 1]) Solution: [27, 190] [0, 0, 0, 1]
9 10.046934604644775 Robot: (43, 21, [0, 0, 0, 0]) Solution: [43, 21] [0, 0, 0, 0]
13 13.899348020553589 Robot: (127, 133, [1, 0, 0, 0]) Solution: [127, 133] [1, 0, 0, 0]
20 19.085020065307617 Robot: (63, 111, [0, 0, 0, 0]) Solution: [63, 111] [0, 0, 0, 0]
5 4.391817569732666 Robot: (35, 31, [0, 1, 1, 0]) Solution: [35, 31] [0, 1, 1, 0]
14 12.942898988723755 Robot: (39, 59, [0, 0, 0, 0]) Solution: [39, 59] [0, 0, 0, 0]
13 11.500845670700073 Robot: (91, 76, [0, 1, 0, 1]) Solution: [91, 76] [0, 1, 0, 1]
24 25.1829092502594 Robot: (34, 151, [1, 0, 0, 0]) Solution: [34, 151] [1, 0, 0, 0]
25 21.541122913360596 Robot: (145, 131, [1, 0, 0, 1]) Solution: [145, 131] [1, 0, 0, 1]
11 10.266608238220215 Robot: (135, 177, [1, 0, 0, 1]) Solution: [135, 177] [1, 0, 0, 1]
29 28.292985916137695 Robot: (158, 86, [0, 0, 1, 0]) Solution: [158, 86] [0, 0, 1, 0]
13 12.466801643371582 Robot: (164, 32, [0, 0, 0, 0]) Solution: [164, 32] [0, 0, 0, 0]
32 29.519243478775024 Robot: (42, 199, [1, 0, 0, 0]) Solution: [42, 199] [1, 0, 0, 0]
9 8.997523784637451 Robot: (89, 73, [1, 0, 0, 0]) Solution: [89, 73] [1, 0, 0, 0]
6 5.6420300006866455 Robot: (71, 13, [0, 0, 0, 0]) Solution: [71, 13] [0, 0, 0, 0]
7 6.1941869258880615 Robot: (118, 79, [0, 0, 0, 0]) Solution: [118, 79] [0, 0, 0, 0]
8 7.465142011642456 Robot: (109, 17, [0, 0, 1, 1]) Solution: [109, 17] [0, 0, 1, 1]
12 12.29481840133667 Robot: (43, 55, [0, 0, 0, 1]) Solution: [43, 55] [0, 0, 0, 1]
15 15.27853012084961 Robot: (23, 110, [0, 0, 0, 0]) Solution: [23, 110] [0, 0, 0, 0]
5 5.933976650238037 Robot: (169, 95, [1, 1, 0, 0]) Solution: [169, 95] [1, 1, 0, 0]
25 21.308777570724487 Robot: (101, 126, [0, 0, 0, 1]) Solution: [101, 126] [0, 0, 0, 1]
5 4.268382549285889 Robot: (168, 105, [1, 0, 0, 0]) Solution: [168, 105] [1, 0, 0, 0]
15 13.98970103263855 Robot: (142, 61, [0, 0, 1, 0]) Solution: [142, 61] [0, 0, 1, 0]
15 13.035668849945068 Robot: (149, 57, [0, 0, 0, 0]) Solution: [149, 57] [0, 0, 0, 0]
7 5.93243932723999 Robot: (179, 51, [0, 0, 1, 0]) Solution: [179, 51] [0, 0, 1, 0]
9 7.694217681884766 Robot: (103, 115, [1, 0, 0, 0]) Solution: [103, 115] [1, 0, 0, 0]
7 6.551801443099976 Robot: (143, 53, [1, 0, 0, 0]) Solution: [143, 53] [1, 0, 0, 0]
19 18.438714265823364 Robot: (146, 53, [0, 0, 0, 0]) Solution: [146, 53] [0, 0, 0, 0]
10 11.497256994247437 Robot: (70, 126, [0, 1, 0, 0]) Solution: [70, 126] [0, 1, 0, 0]
13 13.091188907623291 Robot: (110, 199, [1, 0, 1, 0]) Solution: [110, 199] [1, 0, 1, 0]
4 6.911198616027832 Robot: (26, 46, [1, 0, 0, 1]) Solution: [26, 46] [1, 0, 0, 1]
7 12.092745780944824 Robot: (81, 63, [0, 1, 1, 0]) Solution: [81, 63] [0, 1, 1, 0]
4 6.57504677772522 Robot: (151, 153, [1, 0, 0, 0]) Solution: [151, 153] [1, 0, 0, 0]
25 38.92980122566223 Robot: (41, 95, [0, 0, 0, 1]) Solution: [41, 95] [0, 0, 0, 1]
22 39.25369310379028 Robot: (59, 57, [0, 0, 0, 1]) Solution: [59, 57] [0, 0, 0, 1]
24 42.6430606842041 Robot: (170, 115, [0, 0, 0, 0]) Solution: [170, 115] [0, 0, 0, 0]
17 30.4413959980011 Robot: (126, 187, [0, 0, 1, 0]) Solution: [126, 187] [0, 0, 1, 0]
15 27.27910542488098 Robot: (163, 77, [0, 0, 0, 1]) Solution: [163, 77] [0, 0, 0, 1]
33 50.12406277656555 Robot: (5, 9, [0, 0, 0, 1]) Solution: [5, 9] [0, 0, 0, 1]
15 22.938398361206055 Robot: (75, 199, [0, 1, 1, 0]) Solution: [75, 199] [0, 1, 1, 0]
13 17.01698637008667 Robot: (157, 10, [0, 1, 0, 1]) Solution: [157, 10] [0, 1, 0, 1]
23 29.403943061828613 Robot: (93, 81, [1, 1, 0, 0]) Solution: [93, 81] [1, 1, 0, 0]
11 19.8056800365448 Robot: (139, 80, [0, 1, 0, 1]) Solution: [139, 80] [0, 1, 0, 1]
27 47.5029034614563 Robot: (153, 153, [0, 1, 0, 0]) Solution: [153, 153] [0, 1, 0, 0]
15 26.35736393928528 Robot: (165, 93, [0, 0, 0, 1]) Solution: [165, 93] [0, 0, 0, 1]
7 12.240366458892822 Robot: (122, 156, [0, 0, 0, 0]) Solution: [122, 156] [0, 0, 0, 0]
21 36.88644814491272 Robot: (103, 183, [0, 0, 1, 1]) Solution: [103, 183] [0, 0, 1, 1]
19 33.48430681228638 Robot: (137, 13, [1, 0, 1, 0]) Solution: [137, 13] [1, 0, 1, 0]
8 14.041381120681763 Robot: (98, 193, [1, 0, 0, 0]) Solution: [98, 193] [1, 0, 0, 0]
11 19.212038040161133 Robot: (35, 40, [0, 0, 0, 1]) Solution: [35, 40] [0, 0, 0, 1]
8 13.962690591812134 Robot: (1, 170, [0, 1, 0, 1]) Solution: [1, 170] [0, 1, 0, 1]
8 14.038744688034058 Robot: (79, 98, [0, 1, 0, 0]) Solution: [79, 98] [0, 1, 0, 0]
16 28.065447330474854 Robot: (157, 149, [0, 0, 1, 1]) Solution: [157, 149] [0, 0, 1, 1]
15 26.18536925315857 Robot: (83, 81, [0, 0, 0, 0]) Solution: [83, 81] [0, 0, 0, 0]
6 10.521129369735718 Robot: (55, 63, [0, 0, 0, 1]) Solution: [55, 63] [0, 0, 0, 1]
19 33.417747497558594 Robot: (197, 85, [0, 1, 0, 0]) Solution: [197, 85] [0, 1, 0, 0]
33 58.20388317108154 Robot: (165, 161, [1, 1, 0, 0]) Solution: [165, 161] [1, 1, 0, 0]
23 40.40855169296265 Robot: (71, 19, [1, 0, 0, 0]) Solution: [71, 19] [1, 0, 0, 0]
11 19.324763298034668 Robot: (115, 27, [0, 0, 0, 1]) Solution: [115, 27] [0, 0, 0, 1]
13 22.917636156082153 Robot: (138, 31, [1, 0, 0, 0]) Solution: [138, 31] [1, 0, 0, 0]
14 24.75949764251709 Robot: (146, 96, [0, 1, 0, 1]) Solution: [146, 96] [0, 1, 0, 1]
11 19.34213876724243 Robot: (178, 105, [1, 0, 0, 0]) Solution: [178, 105] [1, 0, 0, 0]
22 38.66836595535278 Robot: (166, 23, [1, 0, 1, 0]) Solution: [166, 23] [1, 0, 1, 0]
43 71.88297533988953 Robot: (127, 199, [0, 0, 0, 0]) Solution: [127, 199] [0, 0, 0, 0]
20 19.371978044509888 Robot: (186, 51, [0, 0, 0, 0]) Solution: [186, 51] [0, 0, 0, 0]
12 11.494388580322266 Robot: (157, 86, [0, 0, 0, 1]) Solution: [157, 86] [0, 0, 0, 1]
18 18.0454204082489 Robot: (173, 135, [0, 0, 1, 0]) Solution: [173, 135] [0, 0, 1, 0]
26 25.263713598251343 Robot: (116, 107, [0, 0, 1, 0]) Solution: [116, 107] [0, 0, 1, 0]
16 15.523633480072021 Robot: (147, 199, [1, 0, 0, 0]) Solution: [147, 199] [1, 0, 0, 0]
14 13.62509799003601 Robot: (19, 49, [0, 1, 0, 1]) Solution: [19, 49] [0, 1, 0, 1]
17 16.513845443725586 Robot: (135, 97, [0, 0, 0, 0]) Solution: [135, 97] [0, 0, 0, 0]
14 13.574626445770264 Robot: (79, 61, [1, 1, 0, 0]) Solution: [79, 61] [1, 1, 0, 0]
22 21.361552476882935 Robot: (141, 105, [1, 0, 0, 0]) Solution: [141, 105] [1, 0, 0, 0]
15 14.52985429763794 Robot: (7, 100, [0, 1, 0, 1]) Solution: [7, 100] [0, 1, 0, 1]
9 8.659599304199219 Robot: (106, 183, [1, 0, 0, 0]) Solution: [106, 183] [1, 0, 0, 0]
20 19.514905214309692 Robot: (161, 103, [0, 0, 0, 0]) Solution: [161, 103] [0, 0, 0, 0]
26 25.274596691131592 Robot: (70, 81, [0, 0, 0, 0]) Solution: [70, 81] [0, 0, 0, 0]
38 36.88048219680786 Robot: (119, 95, [1, 0, 1, 0]) Solution: [119, 95] [1, 0, 1, 0]
7 6.73303747177124 Robot: (96, 138, [0, 0, 0, 0]) Solution: [96, 138] [0, 0, 0, 0]
15 14.523593664169312 Robot: (197, 189, [0, 0, 0, 0]) Solution: [197, 189] [0, 0, 0, 0]
14 13.50581407546997 Robot: (37, 181, [1, 1, 0, 0]) Solution: [37, 181] [1, 1, 0, 0]
18 17.429734468460083 Robot: (167, 157, [1, 0, 0, 0]) Solution: [167, 157] [1, 0, 0, 0]
13 12.646418333053589 Robot: (105, 129, [0, 0, 0, 0]) Solution: [105, 129] [0, 0, 0, 0]
5 4.865332126617432 Robot: (169, 29, [1, 0, 0, 1]) Solution: [169, 29] [1, 0, 0, 1]
18 17.462761163711548 Robot: (63, 72, [0, 1, 0, 0]) Solution: [63, 72] [0, 1, 0, 0]
22 21.366337060928345 Robot: (96, 121, [1, 0, 0, 0]) Solution: [96, 121] [1, 0, 0, 0]
9 8.703001976013184 Robot: (154, 11, [0, 0, 1, 0]) Solution: [154, 11] [0, 0, 1, 0]
5 4.802793264389038 Robot: (43, 41, [0, 0, 1, 1]) Solution: [43, 41] [0, 0, 1, 1]
12 11.637426614761353 Robot: (103, 85, [0, 0, 0, 0]) Solution: [103, 85] [0, 0, 0, 0]
10 9.740821361541748 Robot: (152, 136, [0, 0, 0, 0]) Solution: [152, 136] [0, 0, 0, 0]
FINISH
Iterations:  100
Map size (width height):  201 203
Mean of steps:  15.96
Mean of time per iteration:  19.77158996582031
Median of steps:  14.0
Median of time per iteration:  16.080883026123047
Total elapsed time:  2084.099077939987
Sensor reliability (higher is better):  1.0
