7 0.14409947395324707 Robot: (4, 13, [0, 0, 0, 0]) Solution: [4, 13] [0, 0, 0, 0]
3 0.06332874298095703 Robot: (23, 12, [0, 1, 0, 1]) Solution: [23, 12] [0, 1, 0, 1]
5 0.10725545883178711 Robot: (22, 19, [0, 0, 1, 0]) Solution: [22, 19] [0, 0, 1, 0]
14 0.2905552387237549 Robot: (11, 35, [1, 0, 0, 1]) Solution: [11, 35] [1, 0, 0, 1]
2 0.04251503944396973 Robot: (17, 31, [1, 0, 0, 0]) Solution: [17, 31] [1, 0, 0, 0]
3 0.06252861022949219 Robot: (27, 32, [0, 0, 0, 0]) Solution: [27, 32] [0, 0, 0, 0]
3 0.06348681449890137 Robot: (29, 2, [0, 1, 0, 1]) Solution: [29, 2] [0, 1, 0, 1]
3 0.06285476684570312 Robot: (30, 4, [0, 0, 0, 0]) Solution: [30, 4] [0, 0, 0, 0]
22 0.4535226821899414 Robot: (13, 11, [1, 0, 1, 0]) Solution: [13, 11] [1, 0, 1, 0]
6 0.12555289268493652 Robot: (13, 29, [1, 0, 0, 0]) Solution: [13, 29] [1, 0, 0, 0]
10 0.20607304573059082 Robot: (30, 34, [0, 0, 0, 1]) Solution: [30, 34] [0, 0, 0, 1]
3 0.06285810470581055 Robot: (7, 25, [1, 0, 0, 0]) Solution: [7, 25] [1, 0, 0, 0]
16 0.3372163772583008 Robot: (28, 17, [0, 0, 1, 0]) Solution: [28, 17] [0, 0, 1, 0]
19 0.3954637050628662 Robot: (28, 34, [1, 1, 0, 0]) Solution: [28, 34] [1, 1, 0, 0]
8 0.16476845741271973 Robot: (15, 20, [0, 1, 0, 0]) Solution: [15, 20] [0, 1, 0, 0]
8 0.169600248336792 Robot: (19, 31, [0, 0, 1, 0]) Solution: [19, 31] [0, 0, 1, 0]
4 0.08333420753479004 Robot: (11, 28, [0, 0, 0, 0]) Solution: [11, 28] [0, 0, 0, 0]
11 0.23077106475830078 Robot: (13, 11, [1, 0, 1, 0]) Solution: [13, 11] [1, 0, 1, 0]
15 0.30749011039733887 Robot: (23, 3, [0, 1, 1, 1]) Solution: [23, 3] [0, 1, 1, 1]
9 0.18795037269592285 Robot: (24, 19, [1, 0, 0, 0]) Solution: [24, 19] [1, 0, 0, 0]
8 0.18054699897766113 Robot: (7, 8, [0, 0, 0, 1]) Solution: [7, 8] [0, 0, 0, 1]
2 0.04553699493408203 Robot: (1, 24, [0, 1, 0, 1]) Solution: [1, 24] [0, 1, 0, 1]
1 0.02251124382019043 Robot: (7, 36, [0, 0, 0, 0]) Solution: [7, 36] [0, 0, 0, 0]
21 0.4325549602508545 Robot: (16, 19, [1, 0, 1, 0]) Solution: [16, 19] [1, 0, 1, 0]
20 0.41282105445861816 Robot: (15, 19, [0, 0, 0, 1]) Solution: [15, 19] [0, 0, 0, 1]
5 0.10319757461547852 Robot: (3, 5, [1, 0, 1, 0]) Solution: [3, 5] [1, 0, 1, 0]
8 0.17261219024658203 Robot: (28, 15, [1, 0, 0, 0]) Solution: [28, 15] [1, 0, 0, 0]
6 0.13597416877746582 Robot: (21, 33, [0, 0, 0, 0]) Solution: [21, 33] [0, 0, 0, 0]
5 0.17627525329589844 Robot: (9, 9, [0, 1, 1, 0]) Solution: [9, 9] [0, 1, 1, 0]
3 0.08952164649963379 Robot: (31, 37, [0, 1, 1, 0]) Solution: [31, 37] [0, 1, 1, 0]
13 0.27507519721984863 Robot: (4, 29, [1, 0, 1, 0]) Solution: [4, 29] [1, 0, 1, 0]
2 0.0420839786529541 Robot: (4, 12, [1, 1, 0, 1]) Solution: [4, 12] [1, 1, 0, 1]
3 0.0623173713684082 Robot: (17, 32, [0, 0, 0, 0]) Solution: [17, 32] [0, 0, 0, 0]
5 0.10660195350646973 Robot: (3, 11, [0, 1, 1, 0]) Solution: [3, 11] [0, 1, 1, 0]
4 0.08220291137695312 Robot: (2, 5, [0, 0, 0, 0]) Solution: [2, 5] [0, 0, 0, 0]
13 0.26859211921691895 Robot: (3, 22, [0, 0, 0, 0]) Solution: [3, 22] [0, 0, 0, 0]
3 0.0620570182800293 Robot: (23, 16, [0, 0, 0, 1]) Solution: [23, 16] [0, 0, 0, 1]
4 0.08878540992736816 Robot: (15, 28, [0, 1, 0, 0]) Solution: [15, 28] [0, 1, 0, 0]
7 0.14710044860839844 Robot: (21, 7, [0, 0, 1, 0]) Solution: [21, 7] [0, 0, 1, 0]
8 0.17902064323425293 Robot: (2, 4, [0, 1, 0, 0]) Solution: [2, 4] [0, 1, 0, 0]
6 0.1590559482574463 Robot: (5, 36, [0, 0, 0, 0]) Solution: [5, 36] [0, 0, 0, 0]
27 0.9690592288970947 Robot: (7, 25, [1, 0, 0, 0]) Solution: [7, 25] [1, 0, 0, 0]
24 0.5581471920013428 Robot: (12, 9, [1, 0, 0, 0]) Solution: [12, 9] [1, 0, 0, 0]
