17 0.41051793098449707 Robot: (17, 5, [0, 1, 0, 1]) Solution: [17, 5] [0, 1, 0, 1]
14 0.3283424377441406 Robot: (1, 1, [1, 0, 0, 1]) Solution: [1, 1] [1, 0, 0, 1]
13 0.302889347076416 Robot: (7, 16, [0, 1, 0, 0]) Solution: [7, 16] [0, 1, 0, 0]
13 0.31172657012939453 Robot: (28, 24, [0, 0, 0, 0]) Solution: [28, 24] [0, 0, 0, 0]
21 0.49324989318847656 Robot: (24, 33, [0, 0, 1, 0]) Solution: [24, 33] [0, 0, 1, 0]
22 0.5227305889129639 Robot: (13, 19, [0, 1, 1, 0]) Solution: [13, 19] [0, 1, 1, 0]
22 0.5287249088287354 Robot: (8, 4, [1, 0, 0, 0]) Solution: [8, 4] [1, 0, 0, 0]
9 0.21940898895263672 Robot: (11, 26, [0, 1, 0, 1]) Solution: [11, 26] [0, 1, 0, 1]
22 0.5380489826202393 Robot: (25, 36, [0, 1, 0, 1]) Solution: [25, 36] [0, 1, 0, 1]
11 0.26680445671081543 Robot: (31, 5, [0, 1, 0, 0]) Solution: [31, 5] [0, 1, 0, 0]
19 0.4506206512451172 Robot: (23, 3, [0, 1, 1, 1]) Solution: [23, 3] [0, 1, 1, 1]
8 0.197312593460083 Robot: (9, 7, [0, 1, 0, 0]) Solution: [9, 7] [0, 1, 0, 0]
11 0.2602264881134033 Robot: (8, 24, [0, 1, 0, 1]) Solution: [8, 24] [0, 1, 0, 1]
14 0.3348958492279053 Robot: (4, 15, [0, 0, 1, 0]) Solution: [4, 15] [0, 0, 1, 0]
14 0.3329958915710449 Robot: (23, 16, [0, 0, 0, 1]) Solution: [23, 16] [0, 0, 0, 1]
16 0.39014649391174316 Robot: (21, 25, [0, 0, 1, 0]) Solution: [21, 25] [0, 0, 1, 0]
14 0.34212446212768555 Robot: (14, 29, [0, 0, 0, 0]) Solution: [14, 29] [0, 0, 0, 0]
21 0.5115482807159424 Robot: (3, 29, [1, 0, 1, 0]) Solution: [3, 29] [1, 0, 1, 0]
16 0.3821566104888916 Robot: (9, 29, [0, 1, 0, 0]) Solution: [9, 29] [0, 1, 0, 0]
15 0.3548867702484131 Robot: (9, 27, [1, 0, 0, 1]) Solution: [9, 27] [1, 0, 0, 1]
25 0.5857410430908203 Robot: (31, 1, [1, 1, 0, 0]) Solution: [31, 1] [1, 1, 0, 0]
15 0.3678135871887207 Robot: (3, 3, [1, 0, 1, 0]) Solution: [3, 3] [1, 0, 1, 0]
13 0.30222535133361816 Robot: (1, 5, [0, 0, 0, 1]) Solution: [1, 5] [0, 0, 0, 1]
16 0.3818247318267822 Robot: (13, 33, [1, 1, 0, 0]) Solution: [13, 33] [1, 1, 0, 0]
13 0.3121824264526367 Robot: (28, 16, [0, 1, 0, 0]) Solution: [28, 16] [0, 1, 0, 0]
16 0.3872511386871338 Robot: (28, 34, [1, 1, 0, 0]) Solution: [28, 34] [1, 1, 0, 0]
20 0.4795701503753662 Robot: (8, 8, [0, 0, 0, 0]) Solution: [8, 8] [0, 0, 0, 0]
13 0.30803656578063965 Robot: (5, 3, [0, 1, 1, 0]) Solution: [5, 3] [0, 1, 1, 0]
17 0.4104897975921631 Robot: (1, 3, [0, 0, 0, 1]) Solution: [1, 3] [0, 0, 0, 1]
13 0.3074195384979248 Robot: (18, 25, [1, 0, 1, 0]) Solution: [18, 25] [1, 0, 1, 0]
13 0.3152949810028076 Robot: (14, 29, [0, 0, 0, 0]) Solution: [14, 29] [0, 0, 0, 0]
43 1.0371880531311035 Robot: (25, 37, [0, 0, 1, 0]) Solution: [25, 37] [0, 0, 1, 0]
15 0.3574352264404297 Robot: (16, 29, [1, 0, 0, 0]) Solution: [16, 29] [1, 0, 0, 0]
13 0.3035769462585449 Robot: (11, 11, [1, 0, 1, 0]) Solution: [11, 11] [1, 0, 1, 0]
23 0.554602861404419 Robot: (6, 7, [0, 0, 1, 0]) Solution: [6, 7] [0, 0, 1, 0]
12 0.3115875720977783 Robot: (13, 1, [1, 1, 0, 0]) Solution: [13, 1] [1, 1, 0, 0]
15 0.36019396781921387 Robot: (30, 35, [0, 0, 1, 0]) Solution: [30, 35] [0, 0, 1, 0]
16 0.3823513984680176 Robot: (3, 21, [0, 1, 0, 0]) Solution: [3, 21] [0, 1, 0, 0]
11 0.26647138595581055 Robot: (14, 29, [0, 0, 0, 0]) Solution: [14, 29] [0, 0, 0, 0]
24 0.57889723777771 Robot: (7, 5, [0, 0, 1, 1]) Solution: [7, 5] [0, 0, 1, 1]
14 0.3717529773712158 Robot: (16, 15, [1, 0, 1, 0]) Solution: [16, 15] [1, 0, 1, 0]
24 0.604611873626709 Robot: (1, 12, [0, 0, 0, 1]) Solution: [1, 12] [0, 0, 0, 1]
16 0.41463756561279297 Robot: (10, 5, [1, 0, 1, 0]) Solution: [10, 5] [1, 0, 1, 0]
14 0.3661468029022217 Robot: (14, 15, [1, 0, 0, 0]) Solution: [14, 15] [1, 0, 0, 0]
10 0.24454784393310547 Robot: (9, 8, [0, 0, 0, 0]) Solution: [9, 8] [0, 0, 0, 0]
12 0.2952847480773926 Robot: (1, 5, [0, 0, 0, 1]) Solution: [1, 5] [0, 0, 0, 1]
